email_text,intent,urgency,order_id,product
"Subj: Case 0039 - Order 51039 cables were delivered but to the dock next door, can you confirm signature?",delivery_issue,medium,51039,cables
"Subj: Case 0040 - Keyboard order 51040 is stuck 'awaiting pickup' at facility, can you release it?",delivery_issue,medium,51040,keyboard
"Subj: Case 0041 - Tablet order 51041 says delivered to mailbox but we dont have one, pls help.",delivery_issue,high,51041,tablet
"Subj: Case 0042 - Laptop order 51042 got delayed and our exec is mad, can you find a real ETA??",delivery_issue,high,51042,laptop
"Subj: Case 0043 - Monitor from order 51043 arrived, but stand is missing, pls ship stand.",delivery_issue,medium,51043,monitor
"Subj: Case 0044 - Printer order 51044: tracking says delivered, but no POD, can you send proof?",delivery_issue,medium,51044,printer
"Subj: Case 0045 - Server rack order 51045 arrived w/ bent rails, need replacement parts asap.",delivery_issue,high,51045,server rack
"Subj: Case 0046 - Router order 51046 is bouncing between hubs, pls stop the loop & deliver.",delivery_issue,medium,51046,router
"Subj: Case 0047 - Order 51047 cables came opened and taped, not sure if complete, can you verify?",delivery_issue,low,51047,cables
"Subj: Case 0048 - Keyboard order 51048 delivered to 'mail room' but we are a warehouse, pls help locate.",delivery_issue,medium,51048,keyboard
"Subj: Case 0049 - Tablet order 51049 is late and we travel Friday, need it before then pls.",delivery_issue,high,51049,tablet
"Subj: Case 0050 - Laptop order 51050 arrived but it's the wrong spec (smaller SSD), shipping mistake?",delivery_issue,medium,51050,laptop
"Subj: Case 0051 - Monitor order 51051 was supposed to be delivered today, now says next week, can you fix?",delivery_issue,high,51051,monitor
"Subj: Case 0052 - Printer order 51052 got returned to sender for no reason, pls reship.",delivery_issue,high,51052,printer
"Subj: Case 0053 - Server rack order 51053 is missing the key/lock, can you send it out?",delivery_issue,medium,51053,server rack
"Subj: Case 0054 - Router order 51054 arrived 1 week late, we need to know why + prevent this next time.",delivery_issue,low,51054,router
"Subj: Case 0055 - Do you have AB-2234 router in stock? Need qty 3, pls confirm.",availability,,,router
"Subj: Case 0056 - Checking avail: XZ9981 laptop, i need 10 units for next month.",availability,,,laptop
"Subj: Case 0057 - Any stock on PR-4410 printer? Need 2, sorry if last msg didnt go thru.",availability,,,printer
"Subj: Case 0058 - Wondering if MN-7720 monitor is available, qty 6.",availability,,,monitor
"Subj: Case 0059 - Need 25 ethernet cables, sku CB-100M, you got them on hand?",availability,,,cables
Subj: Case 0060 - Is SR-2042 server rack in stock right now? need 1.,availability,,,server rack
"Subj: Case 0061 - Availability check: KB-88X keyboard, qty 12, pls.",availability,,,keyboard
Subj: Case 0062 - Do you still carry TB-A19 tablet? need 4 for our field team.,availability,,,tablet
"Subj: Case 0063 - Can you confirm if SW-LIC-7P software license is available, qty 7?",availability,,,software license
Subj: Case 0064 - Need monitor stands/monitor sku MN-7721 avail? qty 2.,availability,,,monitor
"Subj: Case 0065 - Quick stock question: laptop sku LT-5500, need 1 unit only.",availability,,,laptop
Subj: Case 0066 - Are PR-4411 printers backordered or available? need qty 3 pls.,availability,,,printer
"Subj: Case 0067 - Need to know if router RT-AC77 is in stock, qty 5.",availability,,,router
"Subj: Case 0068 - Can you check availability for cables CBL-2M-BK, qty 50? thx.",availability,,,cables
"Subj: Case 0069 - Is the 42U server rack SR-42U-01 available, qty 2?",availability,,,server rack
"Subj: Case 0070 - keyboard stock check: KB-90PRO, need 8 units.",availability,,,keyboard
"Subj: Case 0071 - Any tablets left, sku TB-10R2? need 15 (if thats too many tell me).",availability,,,tablet
"Subj: Case 0072 - Looking for monitor MN-UHD27 stock, qty 9, pls confirm leadtime.",availability,,,monitor
Subj: Case 0073 - Do you have ethernet cables sku ET-6A-05 in stock? need 100.,availability,,,cables
Subj: Case 0074 - Is software license sku SW-ENT-01 available for qty 30?,availability,,,software license
"Subj: Case 0075 - Need a printer PR-LASER9, sku PL-9009, in stock? qty 1.",availability,,,printer
"Subj: Case 0076 - Router availability: RT-EDGE12, qty 2, can ship this week?",availability,,,router
"Subj: Case 0077 - Need laptop sku LT-14X1 in stock, qty 6.",availability,,,laptop
"Subj: Case 0078 - Can you confirm monitor MN-IPS24 availability, qty 14?",availability,,,monitor
Subj: Case 0079 - Is KB-MECH-1 keyboard available? need qty 20 for a rollout.,availability,,,keyboard
"Subj: Case 0080 - Tablet sku TB-PRO11 stock check, qty 2 pls.",availability,,,tablet
Subj: Case 0081 - Any server racks SR-18U-SLIM left? need 3.,availability,,,server rack
"Subj: Case 0082 - Do you have cable sku USB-C-2M available, qty 40?",availability,,,cables
"Subj: Case 0083 - Printer PR-INKJET2 sku IJ-2000, need 5, avail?",availability,,,printer
"Subj: Case 0084 - Laptop LT-5562 sku LT-5562, need 2 units, are they in stock now?",availability,,,laptop
"Subj: Case 0085 - Looking for router sku RT-MESH5, qty 1, is it available?",availability,,,router
"Subj: Case 0086 - Need monitor sku MN-WIDE34, qty 4, do you have them?",availability,,,monitor
"Subj: Case 0087 - Cable sku HDMI-3M-UL, qty 18, any in stock?",availability,,,cables
"Subj: Case 0088 - Need software license sku SW-STD-12, qty 12, available or backorder?",availability,,,software license
"Subj: Case 0089 - Is keyboard KB-SILENT-2 available, qty 30?",availability,,,keyboard
Subj: Case 0090 - Tablet sku TB-LTE8 available? need qty 6 for remote sites.,availability,,,tablet
"Subj: Case 0091 - Server rack sku SR-12U-WALL, need 2, do you have stock?",availability,,,server rack
"Subj: Case 0092 - Printer sku PR-CL-3300, qty 2, available?",availability,,,printer
"Subj: Case 0093 - Need laptop sku LT-13AIR, qty 9, what’s current stock?",availability,,,laptop
"Subj: Case 0094 - Router RT-POE8 sku RT-POE8, qty 7, can you confirm availability?",availability,,,router
"Subj: Case 0095 - Monitor sku MN-4K32, need 2, in stock?",availability,,,monitor
"Subj: Case 0096 - Cable stock check: DP-2M-V2, qty 22 pls.",availability,,,cables
Subj: Case 0097 - Do you have server rack SR-27U-GLASS available? need 1.,availability,,,server rack
"Subj: Case 0098 - Keyboard sku KB-WL-7, qty 16, is it available?",availability,,,keyboard
"Subj: Case 0099 - Tablet TB-KIDS? (sku TB-EDU10) need 20, can you confirm stock pls.",availability,,,tablet
"Subj: Case 0100 - Software license availability: sku SW-PRO-50, qty 50, do you have enough?",availability,,,software license
"Subj: Case 0101 - Need monitor sku MN-IPS27A available, qty 3, quick reply pls.",availability,,,monitor
"Subj: Case 0102 - Printer sku PR-SCAN-4, qty 1, do you have it in stock right now?",availability,,,printer
"Subj: Case 0103 - Router sku RT-VPN20, need qty 4, any stock?",availability,,,router
"Subj: Case 0104 - Laptop availability: sku LT-7580, qty 2 pls confirm.",availability,,,laptop
"Subj: Case 0105 - Cables sku CAT6-10FT, need 60, in stock or no?",availability,,,cables
"Subj: Case 0106 - Server rack sku SR-9U-WALL, qty 5, can you confirm availability?",availability,,,server rack
"Subj: Case 0107 - Keyboard sku KB-ERGO3, qty 11, available?",availability,,,keyboard
"Subj: Case 0108 - Tablet sku TB-MINI7, qty 2, any in stock? thanks.",availability,,,tablet
"Subj: Case 0109 - Really disappointed: the laptop battery dies in 45 mins, feels defective.",complaints,,,laptop
"Subj: Case 0110 - Your router randomly reboots all day, total nightmare for our office.",complaints,,,router
"Subj: Case 0111 - Printer quality is awful, streaks on every page, not acceptable.",complaints,,,printer
"Subj: Case 0112 - Monitor flickers constantly even after changing cables, super frustrating.",complaints,,,monitor
"Subj: Case 0113 - The cables you sent are mislabeled and dont fit, wasted our time.",complaints,,,cables
"Subj: Case 0114 - Server rack instructions are terrible and parts dont align, this is bad QC.",complaints,,,server rack
"Subj: Case 0115 - Keyboard keys stick after 2 weeks, honestly feels cheap.",complaints,,,keyboard
"Subj: Case 0116 - Tablet screen has dead pixels out of the box, cmon.",complaints,,,tablet
"Subj: Case 0117 - Software license portal is broken, we cant activate, this is blocking work.",complaints,,,software license
"Subj: Case 0118 - Laptop fan is insanely loud, sounds like a jet, not ok for meetings.",complaints,,,laptop
"Subj: Case 0119 - Router wifi drops every hour, we regret buying this.",complaints,,,router
"Subj: Case 0120 - Printer setup app crashes nonstop, cant even finish install, very annoyed.",complaints,,,printer
"Subj: Case 0121 - Monitor color is way off vs spec, looks washed out, not happy.",complaints,,,monitor
"Subj: Case 0122 - The HDMI cables fail after a day, intermittent signal, trash quality.",complaints,,,cables
"Subj: Case 0123 - Server rack door hinge is crooked, doesnt close right, unacceptable.",complaints,,,server rack
"Subj: Case 0124 - Keyboard wireless keeps disconnecting, basically unusable.",complaints,,,keyboard
"Subj: Case 0125 - Tablet charges super slow, and battery drains overnight, disappointed.",complaints,,,tablet
"Subj: Case 0126 - Software license terms changed after purchase, feels like a bait n switch.",complaints,,,software license
"Subj: Case 0127 - Laptop trackpad is glitchy, cursor jumps around, super annoying.",complaints,,,laptop
"Subj: Case 0128 - Router admin UI is so slow it times out, cant manage settings.",complaints,,,router
"Subj: Case 0129 - Printer jams literally every 5 pages, we are done with this thing.",complaints,,,printer
"Subj: Case 0130 - Monitor has backlight bleed on all corners, looks terrible.",complaints,,,monitor
"Subj: Case 0131 - The USB-C cables get hot and disconnect, thats scary tbh.",complaints,,,cables
"Subj: Case 0132 - Server rack paint is peeling right away, looks used, not acceptable.",complaints,,,server rack
"Subj: Case 0133 - Keyboard arrived and spacebar rattles like crazy, feels broken.",complaints,,,keyboard
"Subj: Case 0134 - Tablet speaker is distorted at normal volume, bad build quality.",complaints,,,tablet
"Subj: Case 0135 - Software license key you sent was invalid, we wasted hours.",complaints,,,software license
"Subj: Case 0136 - Laptop came with scratches on the lid, looks refurbished.",complaints,,,laptop
"Subj: Case 0137 - Router range is way worse than advertised, cant cover our small office.",complaints,,,router
"Subj: Case 0138 - Printer scanner doesnt detect paper half the time, super unreliable.",complaints,,,printer
"Subj: Case 0139 - Monitor stand wobbles a lot, feels unsafe.",complaints,,,monitor
"Subj: Case 0140 - Cables packaging had no labels and half were the wrong length, messy.",complaints,,,cables
"Subj: Case 0141 - Server rack rails are warped, cant mount servers, this is a joke.",complaints,,,server rack
"Subj: Case 0142 - Keyboard software is full of bugs, macros dont save, very frustrated.",complaints,,,keyboard
"Subj: Case 0143 - Tablet gets super hot on video calls, worried it will fail.",complaints,,,tablet
"Subj: Case 0144 - Software license renewal price jumped without warning, not cool.",complaints,,,software license
"Subj: Case 0145 - Laptop webcam is grainy and keeps freezing, not meeting spec.",complaints,,,laptop
"Subj: Case 0146 - Router firmware update bricked it, now its dead, extremely upset.",complaints,,,router
"Subj: Case 0147 - Printer keeps saying 'low ink' with new cartridge, nonsense.",complaints,,,printer
"Subj: Case 0148 - Monitor has ghosting even at default settings, not good for work.",complaints,,,monitor
"Subj: Case 0149 - The network cables fail a cert test, cant use them in our build.",complaints,,,cables
"Subj: Case 0150 - Server rack came w/ sharp edges, unsafe for install crew.",complaints,,,server rack
"Subj: Case 0151 - Keyboard legends are fading already, after a month, thats ridiculous.",complaints,,,keyboard
"Subj: Case 0152 - Tablet touch screen misses taps, super laggy, hate it.",complaints,,,tablet
"Subj: Case 0153 - Software license support never responds, been days, this is terrible service.",complaints,,,software license
"Subj: Case 0154 - Laptop keyboard backlight died instantly, low quality.",complaints,,,laptop
"Subj: Case 0155 - Router speeds are half what we pay for, very disappointed.",complaints,,,router
"Subj: Case 0156 - Printer makes grinding noise, sounds like it will break.",complaints,,,printer
"Subj: Case 0157 - Monitor wakes up slow and sometimes stays black, super annoying.",complaints,,,monitor
"Subj: Case 0158 - Cables keep falling out, connectors are too loose, not acceptable.",complaints,,,cables
"Subj: Case 0159 - Server rack shipment was missing washers, had to stop install, very frustrating.",complaints,,,server rack
"Subj: Case 0160 - Keyboard came with a broken USB receiver, useless.",complaints,,,keyboard
"Subj: Case 0161 - Tablet OS is buggy and keeps freezing, regret this purchase.",complaints,,,tablet
"Subj: Case 0162 - Got a collections email for order 62001 but we already paid, amount showing $1299.00??",credit_and_collections,,62001,
"Subj: Case 0163 - Please remove credit hold, order 62002 is blocked and the past due notice says $450.50 (not right).",credit_and_collections,,62002,
"Subj: Case 0164 - We keep getting dunning calls for order 62003, invoice was settled last week for 210.00.",credit_and_collections,,62003,
"Subj: Case 0165 - Your statement shows an open balance $78.99 but i cant match it, ref order 62004.",credit_and_collections,,62004,
"Subj: Case 0166 - Order 62005 got sent to collections?? we never recieved the invoice, amount says 999.95.",credit_and_collections,,62005,
"Subj: Case 0167 - Dispute: late fee on order 62006 for $35.00, pls waive it.",credit_and_collections,,62006,
"Subj: Case 0168 - We were put on credit hold and cant place new orders, linked to order 62007 balance $5000.",credit_and_collections,,62007,
"Subj: Case 0169 - Payment was applied to wrong account, order 62008 still shows $120.00 due.",credit_and_collections,,62008,
"Subj: Case 0170 - Pls explain the past due notice for order 62009, it says $1,750.25 due.",credit_and_collections,,62009,
"Subj: Case 0171 - We need a credit limit increase, but got told order 62010 unpaid $300.00 (we paid).",credit_and_collections,,62010,
"Subj: Case 0172 - Collections team emailed about order 62011, amount $62.10, can you stop reminders?",credit_and_collections,,62011,
"Subj: Case 0173 - There is a chargeback on order 62012 for $849.00, need details pls.",credit_and_collections,,62012,
"Subj: Case 0174 - Why are we being threatened with collections over order 62013, amount is $199.99??",credit_and_collections,,62013,
"Subj: Case 0175 - Our remittance was sent but order 62014 still open $410.00, pls reconcile.",credit_and_collections,,62014,
"Subj: Case 0176 - Credit memo missing for order 62015, you still show $150.00 due.",credit_and_collections,,62015,
"Subj: Case 0177 - We got double billed for order 62016, total showing $2400.00, pls fix.",credit_and_collections,,62016,
"Subj: Case 0178 - Statement shows interest on order 62017 ($18.75) but terms are net30, pls remove.",credit_and_collections,,62017,
"Subj: Case 0179 - Can you resend proof of payment receipt? order 62018, collection says we owe $600.",credit_and_collections,,62018,
"Subj: Case 0180 - Our account got put on stop ship due to order 62019, amount $95.00, pls advise.",credit_and_collections,,62019,
"Subj: Case 0181 - Payment plan request: order 62020 outstanding $3200, who do i talk to?",credit_and_collections,,62020,
"Subj: Case 0182 - Please clarify why order 62021 is past due, amount says $1,020.00 (we have PO).",credit_and_collections,,62021,
"Subj: Case 0183 - We got a notice for order 62022 about $13.40, feels like a mistake.",credit_and_collections,,62022,
Subj: Case 0184 - Can you take us off credit hold? order 62023 shows $799.00 due but thats in transit.,credit_and_collections,,62023,
"Subj: Case 0185 - We need an updated statement, order 62024 keeps appearing w/ $250.00 balance.",credit_and_collections,,62024,
"Subj: Case 0186 - Collections contacted my CEO about order 62025 $15000, not ok, pls escalate.",credit_and_collections,,62025,
"Subj: Case 0187 - Order 62026 was cancelled but you still show $499.00 due, can you clear it?",credit_and_collections,,62026,
"Subj: Case 0188 - I see a disputed charge for order 62027 $89.90, need the invoice copy pls.",credit_and_collections,,62027,
"Subj: Case 0189 - Please stop auto reminders for order 62028, we will pay $760.00 on Friday.",credit_and_collections,,62028,
Subj: Case 0190 - Why is there a finance charge $22.00 on order 62029? pls explain/waive.,credit_and_collections,,62029,
"Subj: Case 0191 - We wired payment but order 62030 still shows $1800 due, can you confirm receipt?",credit_and_collections,,62030,
"Subj: Case 0192 - Order 62031 got sent to collections but the product was returned, balance $640.00 should be zero.",credit_and_collections,,62031,
"Subj: Case 0193 - Need help reconciling: order 62032 shows $312.12 due, but our ledger says paid.",credit_and_collections,,62032,
"Subj: Case 0194 - Credit limit got reduced after order 62033, and now you say $110.00 is overdue, pls review.",credit_and_collections,,62033,
"Subj: Case 0195 - We keep getting the same overdue email for order 62034 ($59.00), can you stop it.",credit_and_collections,,62034,
"Subj: Case 0196 - Order 62035 was prepaid, but statement shows $200.00 due, pls correct.",credit_and_collections,,62035,
Subj: Case 0197 - Can someone explain the $7.25 'service charge' on order 62036? feels wrong.,credit_and_collections,,62036,
"Subj: Case 0198 - Our bank rejected the charge on order 62037, amount $999.00, how do we repay?",credit_and_collections,,62037,
"Subj: Case 0199 - Please update the AR contact, we keep missing notices; order 62038 says $1400 due.",credit_and_collections,,62038,
"Subj: Case 0200 - We need a payoff letter for order 62039, outstanding shows $260.00.",credit_and_collections,,62039,
"Subj: Case 0201 - Disputing an overdue claim on order 62040 for $333.33, pls provide backup.",credit_and_collections,,62040,
"Subj: Case 0202 - Our order 62041 balance is wrong, you show $870.00 but we returned items.",credit_and_collections,,62041,
"Subj: Case 0203 - I got a 'final notice' for order 62042 $44.00, please dont escalate, checking now.",credit_and_collections,,62042,
"Subj: Case 0204 - Can you confirm if order 62043 is actually unpaid? amount says $6100.00, seems off.",credit_and_collections,,62043,
"Subj: Case 0205 - Order 62044: we got two invoices for same thing, total $980.00, pls correct.",credit_and_collections,,62044,
Subj: Case 0206 - Please send updated aging report; order 62045 line shows $77.77 we cant identify.,credit_and_collections,,62045,
"Subj: Case 0207 - We got charged a restocking fee to AR for order 62046 $125.00, need explanation.",credit_and_collections,,62046,
"Subj: Case 0208 - Account is on hold over order 62047, says $2600.00 due, can we talk options?",credit_and_collections,,62047,
"Subj: Case 0209 - Need W-9? also collections says order 62048 $88.00 overdue, pls confirm.",credit_and_collections,,62048,
Subj: Case 0210 - Why did you send order 62049 to collections when we were disputing? amount $540.00.,credit_and_collections,,62049,
"Subj: Case 0211 - Pls apply our credit to order 62050, balance shows $300.00 still open.",credit_and_collections,,62050,
Subj: Case 0212 - We need a copy of the promissory agreement? order 62051 is $1200 due per email.,credit_and_collections,,62051,
"Subj: Case 0213 - Confused: order 62052 shows $0 paid, but we ACH'd $1990.00, can you post it?",credit_and_collections,,62052,
"Subj: Case 0214 - Please update the billing address, order 62053 notices keep going to old place; balance $66.00.",credit_and_collections,,62053,
"Subj: Case 0215 - Need invoice for order 63001, can you email PDF today pls (auditor needs it).",invoice_request,high,63001,
"Subj: Case 0216 - Can i get the invoice copy for order 63002? i misplaced it, no rush.",invoice_request,low,63002,
"Subj: Case 0217 - Please send invoices for Feb 2026 period, our AP team is reconciling.",invoice_request,medium,,
"Subj: Case 0218 - Invoice needed for order 63003 asap, payment cant be processed without it.",invoice_request,high,63003,
"Subj: Case 0219 - Hi, can you re-send the invoice for order 63004 (printer purchase), thanks.",invoice_request,medium,63004,
"Subj: Case 0220 - Need all invoices for Q4 2025, pls email as one zip if possible.",invoice_request,medium,,
"Subj: Case 0221 - invoice request: order 63005, we didnt recieve it in the first email.",invoice_request,medium,63005,
Subj: Case 0222 - Can you provide invoice for order 63006 by EOD? AP cutoff.,invoice_request,high,63006,
Subj: Case 0223 - Please send January 2026 invoices (monthly statement) to this email.,invoice_request,medium,,
"Subj: Case 0224 - Need invoice for order 63007, pls include tax breakdown.",invoice_request,medium,63007,
"Subj: Case 0225 - Re-send invoice for order 63008, previous PDF was corrupted :(",invoice_request,medium,63008,
"Subj: Case 0226 - Can you send invoices for Mar 2026, we have audit tomorrow, urgent.",invoice_request,high,,
"Subj: Case 0227 - Need invoice for order 63009 (laptop), no rush just when u can.",invoice_request,low,63009,
"Subj: Case 0228 - invoice for order 63010 pls, our system shows missing doc.",invoice_request,medium,63010,
"Subj: Case 0229 - Please email all invoices for 2025-11 period, AP is closing books.",invoice_request,medium,,
"Subj: Case 0230 - Need invoice right now for order 63011, boss is waiting, asap.",invoice_request,high,63011,
Subj: Case 0231 - Can you send the invoice for order 63012? thanks in advance.,invoice_request,medium,63012,
"Subj: Case 0232 - Need invoice copies for Dec 2025, pls.",invoice_request,low,,
"Subj: Case 0233 - Invoice for order 63013 missing PO number, can you resend corrected PDF asap.",invoice_request,high,63013,
"Subj: Case 0234 - Please send invoice for order 63014, we need it for reimbursement.",invoice_request,medium,63014,
Subj: Case 0235 - Can I get the invoice for order 63015? previous one went to spam i think.,invoice_request,medium,63015,
"Subj: Case 0236 - Need invoices for Q1 2026, our auditor asked last minute, urgent pls.",invoice_request,high,,
"Subj: Case 0237 - invoice request for order 63016, just email PDF, thx.",invoice_request,low,63016,
"Subj: Case 0238 - Please provide invoice for order 63017 today, AP closes at 3pm.",invoice_request,high,63017,
Subj: Case 0239 - Need a consolidated invoice for Apr 2026 period if possible.,invoice_request,medium,,
"Subj: Case 0240 - Invoice copy for order 63018 pls, i accidentally deleted it.",invoice_request,medium,63018,
"Subj: Case 0241 - Can you send invoice for order 63019, need for expense report, not urgent.",invoice_request,low,63019,
"Subj: Case 0242 - Need invoice for order 63020 asap, our payment is on hold.",invoice_request,high,63020,
"Subj: Case 0243 - Please email invoices for May 2026, thanks.",invoice_request,low,,
Subj: Case 0244 - Invoice for order 63021 pls; our AP system needs vendor invoice number.,invoice_request,medium,63021,
"Subj: Case 0245 - Need invoice for order 63022 urgently, auditors are literally here.",invoice_request,high,63022,
"Subj: Case 0246 - Please send invoice for order 63023, we never got it (maybe wrong email).",invoice_request,medium,63023,
"Subj: Case 0247 - Need invoices for Jun 2026, no rush but before month-end pls.",invoice_request,medium,,
"Subj: Case 0248 - invoice for order 63024, pls attach again, cant open the last file.",invoice_request,medium,63024,
Subj: Case 0249 - Can i have the invoice for order 63025? thanks.,invoice_request,low,63025,
"Subj: Case 0250 - Need invoice for order 63026 today, otherwise we miss payment run.",invoice_request,high,63026,
Subj: Case 0251 - Please send invoice for order 63027; AP asked for it again (sry).,invoice_request,medium,63027,
"Subj: Case 0252 - Need invoices for Jul 2026 period, pls.",invoice_request,low,,
Subj: Case 0253 - Invoice for order 63028 is required asap to release shipment payment.,invoice_request,high,63028,
Subj: Case 0254 - Could you send the invoice for order 63029 when you get a sec?,invoice_request,low,63029,
"Subj: Case 0255 - Need invoice for order 63030, please include ship-to, thanks.",invoice_request,medium,63030,
"Subj: Case 0256 - Please email invoices for Aug 2026, urgent for closing books.",invoice_request,high,,
"Subj: Case 0257 - Invoice copy needed: order 63031, thanks.",invoice_request,medium,63031,
"Subj: Case 0258 - Need invoice for order 63032, the pdf link expired, pls resend.",invoice_request,medium,63032,
"Subj: Case 0259 - Please provide invoice for order 63033, urgent, our CFO requested it.",invoice_request,high,63033,
"Subj: Case 0260 - Invoices for Sep 2026 period, can you send them? thx.",invoice_request,low,,
"Subj: Case 0261 - Send invoice for order 63034 pls, we need it for warranty reg.",invoice_request,medium,63034,
"Subj: Case 0262 - Invoice for order 63035 needed today, AP will reject without it.",invoice_request,high,63035,
Subj: Case 0263 - Can you send invoice for order 63036? no urgency.,invoice_request,low,63036,
"Subj: Case 0264 - Need invoices for Oct 2026, pls email to AP@... thanks.",invoice_request,medium,,
"Subj: Case 0265 - Invoice for order 63037 is missing line items, can you resend correct one asap.",invoice_request,high,63037,
"Subj: Case 0266 - Please send invoice for order 63038, thx.",invoice_request,low,63038,
"Subj: Case 0267 - Need invoice for order 63039 urgently, payment run is in 1 hour.",invoice_request,high,63039,
"Subj: Case 0268 - Please cancel order 64001, we placed it by mistake, do it asap pls.",order_modification_request,high,64001,
"Subj: Case 0269 - Can you change shipping address for order 64002? i typed it wrong, sorry.",order_modification_request,high,64002,
"Subj: Case 0270 - For order 64003, please update qty from 2 to 3 monitors, if not shipped yet.",order_modification_request,medium,64003,
"Subj: Case 0271 - Need to add 5 cables onto order 64004, can you append it?",order_modification_request,medium,64004,
"Subj: Case 0272 - Order 64005: pls switch the keyboard to wireless model instead, before it ships.",order_modification_request,high,64005,
Subj: Case 0273 - Can you change delivery date for order 64006 to next week? no longer need it today.,order_modification_request,low,64006,
"Subj: Case 0274 - Order 64007: please remove the printer from the order, keep the router.",order_modification_request,medium,64007,
"Subj: Case 0275 - Need to update PO number on order 64008 asap, accounting wont accept it.",order_modification_request,high,64008,
