email_text,intent,urgency,order_id,product,clean_email_text,char_length,word_count
Subj: Case 0343 - Order 65023 cables: what is the shipping status? ordered Tuesday.,order_status,,65023.0,cables,order 65023 cables what is the shipping status ordered tuesday,62,10
Resend invoice for order 33003 period: 2026-02 please,invoice_request,medium,33003.0,,resend invoice for order 33003 period 2026 02 please,52,9
"Subj: Case 0181 - Payment plan request: order 62020 outstanding $3200, who do i talk to?",credit_and_collections,,62020.0,,payment plan request order 62020 outstanding 3200 who do i talk to,66,12
"Subj: Case 0288 - Order 64022: can you change it from 1 monitor to 2 monitors, urgent pls.",order_modification_request,high,64022.0,,order 64022 can you change it from 1 monitor to 2 monitors urgent pls,69,14
Status of keyboard order 65656? ordered last month,order_status,,65656.0,keyboard,status of keyboard order 65656 ordered last month,49,8
"Subj: Case 0122 - The HDMI cables fail after a day, intermittent signal, trash quality.",complaints,,,cables,the hdmi cables fail after a day intermittent signal trash quality,66,11
"Subj: Case 0699 - Need refund for order 67008, amount 299.99, reason: tablet overheating.",refund_request,,67008.0,,need refund for order 67008 amount 299 99 reason tablet overheating,67,11
TB-100 tablets available for 10 pcs?,availability,,,tablet,tb 100 tablets available for 10 pcs,35,7
Out of scope: asking for medical advice about ergonomic keyboards,out_of_scope,,,,out of scope asking for medical advice about ergonomic keyboards,64,10
"Subj: Case 0359 - Printer order 65039: still no tracking, ordered last Tuesday.",order_status,,65039.0,printer,printer order 65039 still no tracking ordered last tuesday,58,9
"Hi, can sales rep contact our firm? We're SMB ~ 50 employees in EMEA, need quote later this wk",sales_reps,medium,,,hi can sales rep contact our firm we re smb 50 employees in emea need quote later this wk,89,19
"I need a sales rep in SA for 400-person company, pls contact",sales_reps,medium,,,i need a sales rep in sa for 400 person company pls contact,59,13
Subj: Case 0212 - We need a copy of the promissory agreement? order 62051 is $1200 due per email.,credit_and_collections,,62051.0,,we need a copy of the promissory agreement order 62051 is 1200 due per email,76,15
"Can someone explain why our credit memo isn't applied? Ref order 781440, open balance 89.50.",credit_and_collections,,781440.0,,can someone explain why our credit memo isn t applied ref order 781440 open balance 89 50,89,17
"Subj: Case 0145 - Laptop webcam is grainy and keeps freezing, not meeting spec.",complaints,,,laptop,laptop webcam is grainy and keeps freezing not meeting spec,59,10
"Registering vendor: NetParts, parts distributor, region: SA",vendor_registration,,,,registering vendor netparts parts distributor region sa,55,7
"Subj: Case 0121 - Monitor color is way off vs spec, looks washed out, not happy.",complaints,,,monitor,monitor color is way off vs spec looks washed out not happy,59,12
PN-300 printers available? need 6,availability,,,printer,pn 300 printers available need 6,32,6
Subj: Case 0344 - Server rack order 65024: can you share tracking? ordered 12 days ago.,order_status,,65024.0,server rack,server rack order 65024 can you share tracking ordered 12 days ago,66,12
"How to register vendor? Company: CableWorks, business type: wholesaler, region: LATAM",vendor_registration,,,,how to register vendor company cableworks business type wholesaler region latam,79,11
"Subj: Case 0213 - Confused: order 62052 shows $0 paid, but we ACH'd $1990.00, can you post it?",credit_and_collections,,62052.0,,confused order 62052 shows 0 paid but we ach d 1990 00 can you post it,70,16
"Subj: Case 0423 - Cable pricing qty 30, pls provide quote today.",pricing,high,,cables,cable pricing qty 30 pls provide quote today,44,8
"Subj: Case 0967 - Need quote + stock for SR-27U-GLASS2 qty 1, and sales contact for Netherlands.",multiple_intents,,,,need quote stock for sr 27u glass2 qty 1 and sales contact for netherlands,74,14
"The keyboard keys are sticking after like 2 days of normal use. Not happy at all, pls advise.",complaints,,,keyboard,the keyboard keys are sticking after like 2 days of normal use not happy at all pls advise,90,18
Complaint: tablet battery won't hold charge after first cycle. very annoyed,complaints,,,tablet,complaint tablet battery won t hold charge after first cycle very annoyed,73,12
Subj: Case 0941 - Need to return printer order 68067 and also invoice for it for our AP file.,multiple_intents,,68067.0,,need to return printer order 68067 and also invoice for it for our ap file,74,15
Delivery issue: order 99900 marked delivered but to wrong address. need pickup,delivery_issue,high,99900.0,,delivery issue order 99900 marked delivered but to wrong address need pickup,76,12
"Subj: Case 0522 - Laptop docking compatibility list doc, can you send it?",product_docs,,,laptop,laptop docking compatibility list doc can you send it,53,9
"Subj: Case 0502 - Need tablet admin guide (MDM enrollment), version v3 if possible.",product_docs,,,tablet,need tablet admin guide mdm enrollment version v3 if possible,61,10
"Monitor arrived with a bright dead pixel cluster in the center. For the price, this quality is unacceptable.",complaints,,,monitor,monitor arrived with a bright dead pixel cluster in the center for the price this quality is unacceptable,105,18
Warranty terms for printer PR-12 v2025 needed,product_docs,,,printer,warranty terms for printer pr 12 v2025 needed,45,8
"How much for 5 keyboards? Need price quote, budget tight, pls.",pricing,low,,keyboard,how much for 5 keyboards need price quote budget tight pls,58,11
"Server rack doors wont lock properly, urgent for security",technical_support,high,,server rack,server rack doors wont lock properly urgent for security,56,9
"Tablet won't charge with original cable, medium urgent",technical_support,medium,,tablet,tablet won t charge with original cable medium urgent,53,9
My invoice is missing PO number for order 57575 for April. Please resend.,invoice_request,low,57575.0,,my invoice is missing po number for order 57575 for april please resend,71,13
Tablet 76767 shipping status? placed yesterday afternoon,order_status,,76767.0,tablet,tablet 76767 shipping status placed yesterday afternoon,55,7
"How do i sign up as vendor? Company: CoreTech, distributor, region: UK.",vendor_registration,,,,how do i sign up as vendor company coretech distributor region uk,65,12
Want to return order 11777 monitor stand — incorrect model shipped.,return_request,,11777.0,monitor,want to return order 11777 monitor stand incorrect model shipped,64,10
Looking for the user manual for your printer (the office laser one). If there's a PDF pls share.,product_docs,,,printer,looking for the user manual for your printer the office laser one if there s a pdf pls share,92,19
How much for 8 printers? urgent procurement,pricing,high,,printer,how much for 8 printers urgent procurement,42,7
"Subj: Case 0082 - Do you have cable sku USB-C-2M available, qty 40?",availability,,,cables,do you have cable sku usb c 2m available qty 40,47,11
Can you send invoice for order 55421 for period Apr 2026? Need for bookkeeping.,invoice_request,low,55421.0,,can you send invoice for order 55421 for period apr 2026 need for bookkeeping,77,14
"Laptop won't charge via USB-C, pls advise low urgency",technical_support,low,,laptop,laptop won t charge via usb c pls advise low urgency,52,11
Out of scope: can you help me code a website?,out_of_scope,,,,out of scope can you help me code a website,43,10
Tablet TB-77 availability for 20 pieces pls,availability,,,tablet,tablet tb 77 availability for 20 pieces pls,43,8
Subj: Case 0805 - Can you donate equipment to our school? we’re a non-profit program.,out_of_scope,,,,can you donate equipment to our school we re a non profit program,65,13
"Subj: Case 0918 - Delivery says order 68050 is returned to sender, and i want a refund for it.",multiple_intents,,68050.0,,delivery says order 68050 is returned to sender and i want a refund for it,74,15
"Subj: Case 0117 - Software license portal is broken, we cant activate, this is blocking work.",complaints,,,software license,software license portal is broken we cant activate this is blocking work,72,12
Update order 6110044: change from 10 to 12 cables.,order_modification_request,low,6110044.0,,update order 6110044 change from 10 to 12 cables,48,9
"Account shows past due for order 77120 amount 5600, we need to settle but statement unclear.",credit_and_collections,,77120.0,,account shows past due for order 77120 amount 5600 we need to settle but statement unclear,90,16
Can we change billing info on order 99100? pls update company name,order_modification_request,low,99100.0,,can we change billing info on order 99100 pls update company name,65,12
"Vendor reg pls for SmallCo, business type: reseller, region: APAC",vendor_registration,,,,vendor reg pls for smallco business type reseller region apac,61,10
"Order 70700 was scheduled and never picked up, courier delay — pls escalate.",delivery_issue,high,70700.0,,order 70700 was scheduled and never picked up courier delay pls escalate,72,12
"Subj: Case 0540 - Can someone from sales reach out for Germany? company size ~150, soon pls.",sales_reps,medium,,,can someone from sales reach out for germany company size 150 soon pls,70,13
Order 55677 (router) update pls — order placed this morning,order_status,,55677.0,router,order 55677 router update pls order placed this morning,55,9
"Subj: Case 0134 - Tablet speaker is distorted at normal volume, bad build quality.",complaints,,,tablet,tablet speaker is distorted at normal volume bad build quality,62,10
"Hello, registering vendor: Oak & Iron Hardware Co. We are a retail partner in the Midwest US.",vendor_registration,,,,hello registering vendor oak iron hardware co we are a retail partner in the midwest us,87,16
"Subj: Case 0621 - We want to become vendor: BlueStone Monitors, business type OEM, region China.",vendor_registration,,,,we want to become vendor bluestone monitors business type oem region china,74,12
"Subj: Case 0078 - Can you confirm monitor MN-IPS24 availability, qty 14?",availability,,,monitor,can you confirm monitor mn ips24 availability qty 14,52,9
Subj: Case 0190 - Why is there a finance charge $22.00 on order 62029? pls explain/waive.,credit_and_collections,,62029.0,,why is there a finance charge 22 00 on order 62029 pls explain waive,68,14
"Subj: Case 0493 - Need software license EULA doc, latest version pls.",product_docs,,,software license,need software license eula doc latest version pls,49,8
"Router firmware update bricked the device, won't boot. Tech support pls asap.",technical_support,high,,router,router firmware update bricked the device won t boot tech support pls asap,74,13
"Subj: Case 0045 - Server rack order 51045 arrived w/ bent rails, need replacement parts asap.",delivery_issue,high,51045.0,server rack,server rack order 51045 arrived w bent rails need replacement parts asap,72,12
"Invoice pls for order 60000 for May 2026, we need it for our books.",invoice_request,medium,60000.0,,invoice pls for order 60000 for may 2026 we need it for our books,65,14
Subj: Case 0932 - Need invoice for order 68061 and please change invoice email to ap@company.com.,multiple_intents,,68061.0,,need invoice for order 68061 and please change invoice email to,63,11
Want return for server rack 50505 reason: missing screws,return_request,,50505.0,server rack,want return for server rack 50505 reason missing screws,55,9
"Wanted to register vendor: BrightParts Inc, distributor, region: North America.",vendor_registration,,,,wanted to register vendor brightparts inc distributor region north america,74,10
"Subj: Case 0635 - Onboard vendor: BlueHarbor Tablets, business type manufacturer, region India.",vendor_registration,,,,onboard vendor blueharbor tablets business type manufacturer region india,73,9
"Subj: Case 0342 - Monitor order 65022 still says 'confirmed', ordered 7 days ago, pls update.",order_status,,65022.0,monitor,monitor order 65022 still says confirmed ordered 7 days ago pls update,70,12
"Subj: Case 0129 - Printer jams literally every 5 pages, we are done with this thing.",complaints,,,printer,printer jams literally every 5 pages we are done with this thing,64,12
"Subj: Case 0534 - Need a sales contact for Texas region, small business (40 employees), asap pls.",sales_reps,high,,,need a sales contact for texas region small business 40 employees asap pls,74,13
Need a sales rep for Florida (we’re ~120 ppl) and also want bulk pricing on 60 tablets for Q2 rollout,multiple_intents,,,,need a sales rep for florida we re 120 ppl and also want bulk pricing on 60 tablets for q2 rollout,98,21
Order 5901029 shows balance $0.01? Really? Please clear.,credit_and_collections,,5901029.0,,order 5901029 shows balance 0 01 really please clear,52,9
Need technical help with the printer (error code) and honestly I want to return it if we can't fix it. Order 998104.,multiple_intents,,998104.0,,need technical help with the printer error code and honestly i want to return it if we can t fix it order 998104,112,23
Return keyboard 40404 — keys stuck after first day,return_request,,40404.0,keyboard,return keyboard 40404 keys stuck after first day,48,8
"Router LEDs blinking red, wont connect to ISP, urgent",technical_support,high,,router,router leds blinking red wont connect to isp urgent,51,9
Order #880051 says 'label created' since last Friday. has it actually left the warehouse??,order_status,,880051.0,,order 880051 says label created since last friday has it actually left the warehouse,84,14
I got billed for order 33333 but never recieved it. Amount 850.00 please explain,credit_and_collections,,33333.0,,i got billed for order 33333 but never recieved it amount 850 00 please explain,79,15
Can I have the quickstart for monitor? version v1 pls,product_docs,,,monitor,can i have the quickstart for monitor version v1 pls,52,10
Subj: Case 0992 - Order 68099 delivery missing 2 items and i need to update delivery instructions for next attempt.,multiple_intents,,68099.0,,order 68099 delivery missing 2 items and i need to update delivery instructions for next attempt,96,16
"Subj: Case 0750 - Keyboard not detected over USB, tried 2 ports, no luck.",technical_support,medium,,keyboard,keyboard not detected over usb tried 2 ports no luck,52,10
printer PN-77 available? need 1 only,availability,,,printer,printer pn 77 available need 1 only,35,7
"Can I get an invoice for order 44221 for Jan 2026? Need it for records, medium urgency",invoice_request,medium,44221.0,,can i get an invoice for order 44221 for jan 2026 need it for records medium urgency,84,17
"Need price + stock for server rack SR-400, qty 2, urgent for data center",pricing,high,,server rack,need price stock for server rack sr 400 qty 2 urgent for data center,68,14
Where can I get the API integration guide for the software license version 3.0?,product_docs,,,software license,where can i get the api integration guide for the software license version 3 0,78,15
Pricing & availability for SKU TV-12 for tablets qty 30,pricing_and_availability,medium,,,pricing availability for sku tv 12 for tablets qty 30,53,10
"Subj: Case 0420 - Router pricing qty 50, looking for volume discount, urgent.",pricing,high,,router,router pricing qty 50 looking for volume discount urgent,56,9
"Subj: Case 0461 - Need price + stock for RT-VPN21 qty 4, please reply today.",pricing_and_availability,high,,,need price stock for rt vpn21 qty 4 please reply today,54,11
Can you share the quick start guide for the tablet? Any version is fine.,product_docs,,,tablet,can you share the quick start guide for the tablet any version is fine,70,14
"Subj: Case 0608 - Can you onboard us as vendor? Company: RapidRoute Couriers, business type logistics, region US.",vendor_registration,,,,can you onboard us as vendor company rapidroute couriers business type logistics region us,90,14
"Subj: Case 0154 - Laptop keyboard backlight died instantly, low quality.",complaints,,,laptop,laptop keyboard backlight died instantly low quality,52,7
Out of scope question: Do you offer office space rental? not related to products,out_of_scope,,,,out of scope question do you offer office space rental not related to products,78,14
Following up on overdue balance for order 7739205. Late fee added?? Please explain the extra charge 89.50.,credit_and_collections,,7739205.0,,following up on overdue balance for order 7739205 late fee added please explain the extra charge 89 50,102,18
"Subj: Case 0124 - Keyboard wireless keeps disconnecting, basically unusable.",complaints,,,keyboard,keyboard wireless keeps disconnecting basically unusable,56,6
"Subj: Case 0270 - For order 64003, please update qty from 2 to 3 monitors, if not shipped yet.",order_modification_request,medium,64003.0,,for order 64003 please update qty from 2 to 3 monitors if not shipped yet,73,15
"Need invoice for 77654 covering Q4 2024, it's urgent for audit",invoice_request,high,77654.0,,need invoice for 77654 covering q4 2024 it s urgent for audit,61,12
"Subj: Case 0266 - Please send invoice for order 63038, thx.",invoice_request,low,63038.0,,please send invoice for order 63038 thx,39,7
Subj: Case 0472 - Can you confirm price and availability for PR-4413 qty 3? not urgent.,pricing_and_availability,low,,,can you confirm price and availability for pr 4413 qty 3 not urgent,67,13
"Subj: Case 0625 - Add vendor: Nimbus Print Solutions, business type reseller, region Ireland.",vendor_registration,,,,add vendor nimbus print solutions business type reseller region ireland,71,10
Refund order 7205511 please: keyboard DOA. $59.00.,refund_request,,7205511.0,,refund order 7205511 please keyboard doa 59 00,46,8
Recieved wrong cables on order 11999. shipped cables but I ordered keyboard. urgent-ish,delivery_issue,medium,11999.0,cables,recieved wrong cables on order 11999 shipped cables but i ordered keyboard urgent ish,85,14
Subj: Case 0336 - Is order 65016 keyboard shipped? ordered 4 days ago.,order_status,,65016.0,keyboard,is order 65016 keyboard shipped ordered 4 days ago,50,9
I got a shipment missing screws for server rack — what's the RMA process? order 70770,return_request,,70770.0,server rack,i got a shipment missing screws for server rack what s the rma process order 70770,82,16
"Subj: Case 0434 - Price & availability for TB-A20 tablet sku, qty 3, no rush.",pricing_and_availability,low,,,price availability for tb a20 tablet sku qty 3 no rush,54,11
"Subj: Case 0201 - Disputing an overdue claim on order 62040 for $333.33, pls provide backup.",credit_and_collections,,62040.0,,disputing an overdue claim on order 62040 for 333 33 pls provide backup,71,13
"Pricing: laptop qty 8, need quote with shipping, medium priority",pricing,medium,,laptop,pricing laptop qty 8 need quote with shipping medium priority,61,10
"This laptop is trash, cracked hinge in 2 days. I'm furious.",complaints,,,laptop,this laptop is trash cracked hinge in 2 days i m furious,56,12
Wrong monitor delivered and I also want technical help on setup 55555,multiple_intents,,55555.0,,wrong monitor delivered and i also want technical help on setup 55555,69,12
"Subj: Case 0631 - Need vendor onboarding for Arctic Freight Co, business type logistics, region Canada.",vendor_registration,,,,need vendor onboarding for arctic freight co business type logistics region canada,82,12
"Subj: Case 0485 - Looking for installation guide for server rack, can you send it?",product_docs,,,server rack,looking for installation guide for server rack can you send it,62,11
"Subj: Case 0769 - Printer prints blank pages, new toner installed, pls advise soon.",technical_support,medium,,printer,printer prints blank pages new toner installed pls advise soon,62,10
Is there a student discount? not product support,out_of_scope,,,,is there a student discount not product support,47,8
Subj: Case 0958 - Laptop overheating (support) and also please provide warranty terms doc.,multiple_intents,,,,laptop overheating support and also please provide warranty terms doc,69,10
Spec sheet for monitor M-900 ver2 pls,product_docs,,,monitor,spec sheet for monitor m 900 ver2 pls,37,8
"Software license portal times out during activation, urgent",technical_support,high,,software license,software license portal times out during activation urgent,58,8
"Hi, when will order 90012 with monitor arrive? tracking says delayed",delivery_issue,medium,90012.0,monitor,hi when will order 90012 with monitor arrive tracking says delayed,66,11
Subj: Case 0878 - Need pricing for 100 cables and also confirm if CAT6-10FT is available now.,multiple_intents,,,,need pricing for 100 cables and also confirm if cat6 10ft is available now,74,14
"Subj: Case 0556 - Please connect me with someone in sales for Colorado, company size 140, soon.",sales_reps,medium,,,please connect me with someone in sales for colorado company size 140 soon,74,13
"We'd like to become a vendor partner. Company: AeroByte Manufacturing, type: manufacturer, region EU (Netherlands).",vendor_registration,,,,we d like to become a vendor partner company aerobyte manufacturing type manufacturer region eu netherlands,107,16
Are keyboards KB-900 in stock? need 10 for office,availability,,,keyboard,are keyboards kb 900 in stock need 10 for office,48,10
"Subj: Case 0644 - Please help return server rack from order 66006, reason parts missing.",return_request,,66006.0,server rack,please help return server rack from order 66006 reason parts missing,68,11
"Subj: Case 0037 - Server rack order 51037 is missing the side panels, pls send whats missing.",delivery_issue,medium,51037.0,server rack,server rack order 51037 is missing the side panels pls send whats missing,73,13
"Can you process my refund? Order 910663, cables were missing from the box. Not sure total, maybe 39.95.",refund_request,,910663.0,,can you process my refund order 910663 cables were missing from the box not sure total maybe 39 95,98,19
"Complaint: server rack bolts missing on delivery, assembly impossible",complaints,,,server rack,complaint server rack bolts missing on delivery assembly impossible,67,9
"Refund req for order 6888203, cables DOA on arrival. $24.50.",refund_request,,6888203.0,,refund req for order 6888203 cables doa on arrival 24 50,56,11
"Requesting invoice for order 77822 period: 2026-01, medium",invoice_request,medium,77822.0,,requesting invoice for order 77822 period 2026 01 medium,56,9
"Subj: Case 0991 - Check availability on RT-POE9 qty 7 and price for qty 7, urgent pls.",multiple_intents,,,,check availability on rt poe9 qty 7 and price for qty 7 urgent pls,66,14
"Pricing request for tablet accessories qty 60, low urgency",pricing,low,,tablet,pricing request for tablet accessories qty 60 low urgency,57,9
Cables arrived damaged (complaint) and I'd like return - order 90707,multiple_intents,,90707.0,,cables arrived damaged complaint and i d like return order 90707,64,11
"Subj: Case 0538 - Please assign a sales rep for APAC (Singapore), enterprise, need pricing asap.",sales_reps,high,,,please assign a sales rep for apac singapore enterprise need pricing asap,73,12
Who is the sales rep for the Pacific Northwest? We are mid-size (about 350 employees) and need to talk this week.,sales_reps,medium,,,who is the sales rep for the pacific northwest we are mid size about 350 employees and need to talk this week,109,22
"Subj: Case 0800 - Your website login page is down for me, is there a maintenance window posted?",out_of_scope,,,,your website login page is down for me is there a maintenance window posted,75,14
Is keyboard AB-2234 in stock? I need 10 asap,availability,,,keyboard,is keyboard ab 2234 in stock i need 10 asap,43,10
"Subj: Case 0455 - Quote + stock check for SR-27U-GLASS2 qty 1, thanks.",pricing_and_availability,medium,,,quote stock check for sr 27u glass2 qty 1 thanks,48,10
"Connect me to sales in UK, company size 50, not urgent",sales_reps,low,,,connect me to sales in uk company size 50 not urgent,52,11
"I need to modify order 60660 to change billing address, order id 60660",order_modification_request,low,60660.0,,i need to modify order 60660 to change billing address order id 60660,69,13
"Need pricing for 30 laptops (midrange, 16GB). pls send quote asap",pricing,high,,laptop (16GB),need pricing for 30 laptops midrange 16gb pls send quote asap,61,11
Subj: Case 0206 - Please send updated aging report; order 62045 line shows $77.77 we cant identify.,credit_and_collections,,62045.0,,please send updated aging report order 62045 line shows 77 77 we cant identify,78,14
"Router WAN port not working, link down despite cables being fine, pls assist.",technical_support,high,,router,router wan port not working link down despite cables being fine pls assist,74,13
Subj: Case 0281 - Order 64015: can you change the tablet color/model to the 256gb version?,order_modification_request,medium,64015.0,,order 64015 can you change the tablet color model to the 256gb version,70,13
Want to return monitor 66400 and also need product docs for warranty claim,multiple_intents,,66400.0,,want to return monitor 66400 and also need product docs for warranty claim,74,13
Looking for rep in UK for 40-person firm medium,sales_reps,medium,,,looking for rep in uk for 40 person firm medium,47,10
"Refund needed for order 55656, amount 89.95, item never shipped and canceled previously.",refund_request,,55656.0,,refund needed for order 55656 amount 89 95 item never shipped and canceled previously,85,14
We got billed twice on order 600512 and I'd like a refund for the extra amount. Also stop the dunning emails pls.,multiple_intents,,600512.0,,we got billed twice on order 600512 and i d like a refund for the extra amount also stop the dunning emails pls,111,23
"Subj: Case 0052 - Printer order 51052 got returned to sender for no reason, pls reship.",delivery_issue,high,51052.0,printer,printer order 51052 got returned to sender for no reason pls reship,67,12
Order 1229077 was delivered to the wrong floor AND now I need a refund for the missing item. What do we do?,multiple_intents,,1229077.0,,order 1229077 was delivered to the wrong floor and now i need a refund for the missing item what do we do,105,22
Need status on order 590118 and also your fastest ship option if it hasn’t gone out yet (we need it before Friday),multiple_intents,,590118.0,,need status on order 590118 and also your fastest ship option if it hasn t gone out yet we need it before friday,112,23
"Need quote + stock check for SKU SW-4410 (software license), qty 10. also what’s the latest version for the install guide?",multiple_intents,,,,need quote stock check for sku sw 4410 software license qty 10 also what s the latest version for the install guide,115,22
"Refund request for order 22778 — amount 59.99, product was defective out of box.",refund_request,,22778.0,,refund request for order 22778 amount 59 99 product was defective out of box,76,14
"We need a sales rep in EMEA — company size 50-100, could someone reach out pls?",sales_reps,medium,,,we need a sales rep in emea company size 50 100 could someone reach out pls,75,16
"Tablet won't power on even after charge, need urgent help.",technical_support,high,,tablet,tablet won t power on even after charge need urgent help,56,11
Can you confirm ship date for order 6022991 and also send product datasheet? Thx.,multiple_intents,,6022991.0,,can you confirm ship date for order 6022991 and also send product datasheet thx,79,14
Where's my monitor order 44777? tracking shows delay and I need for presentation tomorrow,delivery_issue,high,44777.0,monitor,where s my monitor order 44777 tracking shows delay and i need for presentation tomorrow,88,15
"Subj: Case 0278 - Please split order 64011 into 2 shipments (monitors now, cables later).",order_modification_request,medium,64011.0,,please split order 64011 into 2 shipments monitors now cables later,67,11
"Keyboard price for 2 units, medium please",pricing,medium,,keyboard,keyboard price for 2 units medium please,40,7
"Subj: Case 0176 - Credit memo missing for order 62015, you still show $150.00 due.",credit_and_collections,,62015.0,,credit memo missing for order 62015 you still show 150 00 due,61,12
"Keyboard arrived with sticky keys, prob from manufacturing. Very annoyed.",complaints,,,keyboard,keyboard arrived with sticky keys prob from manufacturing very annoyed,70,10
"Subj: Case 0562 - Who is the rep for Arizona? small business 15 employees, thx.",sales_reps,low,,,who is the rep for arizona small business 15 employees thx,58,11
"Sales rep request: region Midwest US, company size 45, want to discuss SLA terms.",sales_reps,medium,,,sales rep request region midwest us company size 45 want to discuss sla terms,77,14
"Subj: Case 0745 - Tech help: router keeps dropping WAN, tried rebooting, need fix asap.",technical_support,high,,router,tech help router keeps dropping wan tried rebooting need fix asap,65,11
"Subj: Case 0674 - Return software license order 66036, reason: key was invalid.",return_request,,66036.0,software license,return software license order 66036 reason key was invalid,58,9
"Double charged on 12123 and the item never arrived, order12123",multiple_intents,,12123.0,,double charged on 12123 and the item never arrived order12123,61,10
"Sales rep request for Midwest US, company size 120, urgent for procurement cycle.",sales_reps,high,,,sales rep request for midwest us company size 120 urgent for procurement cycle,78,13
Sales contact for Iberia? Company size 60.,sales_reps,low,,,sales contact for iberia company size 60,40,7
Order 603559 for a monitor: can you confirm ETA? We have installers coming on Monday.,order_status,,603559.0,monitor,order 603559 for a monitor can you confirm eta we have installers coming on monday,82,15
Register 'RackMasters' as OEM in MEA please,vendor_registration,,,,register rackmasters as oem in mea please,41,7
Do you have SKU CB-21 cables in stock? need 300,availability,,,cables,do you have sku cb 21 cables in stock need 300,46,11
Multiple intents: want availability for SKU PR-101 and also invoice for order 10101,multiple_intents,,10101.0,,multiple intents want availability for sku pr 101 and also invoice for order 10101,82,14
I want refund for order 99333 amount 59.99 reason: defective product,refund_request,,99333.0,,i want refund for order 99333 amount 59 99 reason defective product,67,12
